"EVTYPE","STATE","total_f","total_i"
"AVALANCHE","NV",1,2
"AVALANCHE","NY",1,5
"BLACK ICE","NY",1,24
"BLIZZARD","KS",1,10
"BLIZZARD","KY",1,0
"BLIZZARD","NE",1,5
"BLIZZARD","OH",1,8
"BLIZZARD","OK",1,0
"BLIZZARD","VA",1,1
"BLIZZARD","WI",1,5
"BLIZZARD","WY",1,0
"blowing snow","ND",1,1
"BLOWING SNOW","ND",1,13
"COASTAL FLOODING","PR",1,0
"COASTAL STORM","NY",1,1
"COASTALSTORM","NY",1,0
"Cold","NC",1,0
"COLD","AR",1,0
"COLD","DC",1,0
"COLD","IL",1,6
"COLD","IN",1,0
"COLD","MA",1,3
"COLD","MD",1,0
"COLD","ME",1,0
"COLD","NC",1,0
"COLD","TN",1,0
"COLD","VA",1,0
"COLD","WA",1,0
"COLD/WIND CHILL","KS",1,0
"COLD/WIND CHILL","KY",1,0
"COLD/WIND CHILL","MN",1,0
"COLD/WIND CHILL","MS",1,0
"COLD/WIND CHILL","NC",1,0
"COLD/WIND CHILL","ND",1,0
"COLD/WIND CHILL","OK",1,0
"COLD/WIND CHILL","PA",1,0
"COLD/WIND CHILL","SC",1,0
"COLD/WIND CHILL","SD",1,0
"COLD/WINDS","SC",1,0
"DENSE FOG","AL",1,71
"DENSE FOG","KS",1,9
"DENSE FOG","LA",1,22
"DROWNING","PA",1,0
"DRY MICROBURST","CO",1,12
"DUST DEVIL","ME",1,0
"DUST DEVIL","WY",1,0
"DUST STORM","MT",1,8
"DUST STORM","WA",1,43
"EXCESSIVE HEAT","AK",1,0
"EXCESSIVE HEAT","CT",1,0
"EXCESSIVE HEAT","IN",1,4
"EXCESSIVE HEAT","OR",1,0
"EXCESSIVE HEAT","SD",1,0
"EXCESSIVE HEAT","UT",1,0
"Extended Cold","MS",1,0
"Extreme Cold","LA",1,0
"Extreme Cold","MT",1,0
"EXTREME COLD","CA",1,1
